Date,Total Revenue,Gross Potential Rent,Operating Expenses,Occupancy Rate,Property Value,Loan Balance,Monthly Debt Service,Concessions,Loss to Lease,Move-Ins,Move-Outs,Avg Days Vacant,Renewal Rate,Interest Rate
2024-01-01,485230,520000,195120,94.0,52000000,33000000,175000,1123,14560,5,4,21,78.2,6.25
2024-02-01,488940,522080,195510,94.2,52156000,32955000,175000,1089,14618,6,5,24,82.5,6.25
2024-03-01,492680,524164,195901,94.5,52312560,32910000,175000,1042,14677,7,4,19,85.1,6.25
2024-04-01,495120,526253,196292,94.7,52469685,32865000,175000,998,14735,5,5,22,79.8,6.25
2024-05-01,499580,528346,196684,95.0,52627376,32820000,175000,932,14794,6,4,18,84.6,6.25
2024-06-01,502340,530444,197076,95.2,52785637,32775000,175000,889,14853,7,5,25,81.2,6.25
2024-07-01,505890,532546,197469,95.4,52944473,32730000,175000,847,14912,6,4,20,86.4,6.25
2024-08-01,509120,534652,197862,95.6,53103886,32685000,175000,806,14971,5,5,23,83.7,6.25
2024-09-01,512680,536763,198256,95.9,53263880,32640000,175000,754,15030,7,4,17,88.1,6.25
2024-10-01,515240,538879,198651,96.0,53424458,32595000,175000,718,15089,6,5,21,80.5,6.25
2024-11-01,518890,540999,199046,96.3,53585625,32550000,175000,665,15149,5,4,24,85.9,6.25
2024-12-01,522180,543124,199442,96.5,53747382,32505000,175000,624,15208,7,5,19,82.8,6.25

