Date,Total Revenue,Gross Potential Rent,Operating Expenses,Occupancy Rate,Property Value,Loan Balance,Monthly Debt Service,Concessions,Loss to Lease,Move-Ins,Move-Outs,Avg Days Vacant,Renewal Rate,Interest Rate
2024-01-01,485000,520000,195000,94.0,52000000,33000000,175000,7800,13000,5,4,20,82.0,6.25
2024-02-01,486455,521560,195293,94.1,52130000,32955000,175000,7823,13039,5,4,20,82.0,6.25
2024-03-01,487914,523124,195586,94.2,52260260,32910000,175000,7847,13078,5,4,20,82.0,6.25
2024-04-01,489376,524693,195879,94.3,52390781,32865000,175000,7870,13117,5,4,20,82.0,6.25
2024-05-01,490842,526266,196173,94.4,52521564,32820000,175000,7894,13157,5,4,20,82.0,6.25
2024-06-01,492312,527843,196467,94.5,52652611,32775000,175000,7918,13196,5,4,20,82.0,6.25
2024-07-01,493785,529425,196761,94.6,52783923,32730000,175000,7941,13236,5,4,20,82.0,6.25
2024-08-01,495262,531011,197056,94.7,52915502,32685000,175000,7965,13275,5,4,20,82.0,6.25
2024-09-01,496743,532602,197351,94.8,53047349,32640000,175000,7989,13315,5,4,20,82.0,6.25
2024-10-01,498227,534197,197646,94.9,53179465,32595000,175000,8013,13355,5,4,20,82.0,6.25
2024-11-01,499715,535797,197942,95.0,53311853,32550000,175000,8037,13395,5,4,20,82.0,6.25
2024-12-01,501207,537401,198238,95.1,53444513,32505000,175000,8061,13435,5,4,20,82.0,6.25

