Date,Total Revenue,Gross Potential Rent,Operating Expenses,Occupancy Rate,Property Value,Loan Balance,Monthly Debt Service,Concessions,Loss to Lease,Move-Ins,Move-Outs,Avg Days Vacant,Renewal Rate,Interest Rate
2024-01-01,485230,520000,195120,94.0,52000000,33000000,175000,10400,15600,6,5,22,82.5,6.25
2024-02-01,488450,522080,195510,94.2,52156000,32955000,175000,10442,15662,5,4,19,84.2,6.25
2024-03-01,491720,524164,195900,94.4,52312560,32910000,175000,10484,15725,7,6,24,78.9,6.25
2024-04-01,494140,526253,196291,94.5,52469685,32865000,175000,10525,15788,4,3,20,86.1,6.25
2024-05-01,497580,528346,196683,94.7,52627376,32820000,175000,10567,15850,8,5,26,79.5,6.25
2024-06-01,500890,530444,197075,95.0,52785637,32775000,175000,10609,15913,6,4,18,88.3,6.25
2024-07-01,503250,532546,197468,95.2,52944473,32730000,175000,10651,15977,5,6,21,81.7,6.25
2024-08-01,506720,534652,197862,95.5,53103886,32685000,175000,10693,16040,7,5,23,83.4,6.25
2024-09-01,509180,536763,198256,95.6,53263880,32640000,175000,10735,16103,4,4,17,89.2,6.25
2024-10-01,512640,538879,198651,95.9,53424458,32595000,175000,10778,16166,6,5,25,77.8,6.25
2024-11-01,515100,540999,199046,96.1,53585625,32550000,175000,10820,16230,5,3,19,85.6,6.25
2024-12-01,518580,543124,199442,96.3,53747382,32505000,175000,10862,16294,8,6,22,80.1,6.25







